error,KP,KD,KI
6.40625,0.001,0.01,0.0001
31.484375,0.001,0.01,0.0001
50.234375,0.001,0.01,0.0001
22.890625,0.001,0.01,0.0001
15.390625,0.001,0.01,0.0001
15.78125,0.001,0.01,0.0001
31.484375,0.001,0.01,0.0001
51.015625,0.001,0.01,0.0001
25.625,0.001,0.01,0.0001
16.171875,0.001,0.01,0.0001
19.296875,0.001,0.01,0.0001
29.140625,0.001,0.01,0.0001
51.40625,0.001,0.01,0.0001
22.5,0.001,0.01,0.0001
20.859375,0.001,0.01,0.0001
23.203125,0.001,0.01,0.0001
28.75,0.001,0.01,0.0001
51.796875,0.001,0.01,0.0001
24.84375,0.001,0.01,0.0001
22.8125,0.001,0.01,0.0001
28.28125,0.001,0.01,0.0001
21.328125,0.001,0.01,0.0001
51.40625,0.001,0.01,0.0001
26.796875,0.001,0.01,0.0001
25.546875,0.001,0.01,0.0001
31.40625,0.001,0.01,0.0001
20.546875,0.001,0.01,0.0001
51.796875,0.001,0.01,0.0001
25.625,0.001,0.01,0.0001
28.28125,0.001,0.01,0.0001
34.921875,0.001,0.01,0.0001
16.640625,0.001,0.01,0.0001
52.1875,0.001,0.01,0.0001
26.015625,0.001,0.01,0.0001
31.40625,0.001,0.01,0.0001
37.65625,0.001,0.01,0.0001
13.90625,0.001,0.01,0.0001
51.796875,0.001,0.01,0.0001
26.40625,0.001,0.01,0.0001
33.75,0.001,0.01,0.0001
39.21875,0.001,0.01,0.0001
12.734375,0.001,0.01,0.0001
51.015625,0.001,0.01,0.0001
24.84375,0.001,0.01,0.0001
36.484375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
8.828125,0.001,0.01,0.0001
49.453125,0.001,0.01,0.0001
24.0625,0.001,0.01,0.0001
38.4375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
2.578125,0.001,0.01,0.0001
45.546875,0.001,0.01,0.0001
19.375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
0.15625,0.001,0.01,0.0001
49.84375,0.001,0.01,0.0001
56.09375,0.001,0.01,0.0001
11.09375,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
16.953125,0.001,0.01,0.0001
49.84375,0.001,0.01,0.0001
